Название,Город,Цена (€),Комнат,Площадь (м²),Этаж,Этажей,До моря (м),Поддержка (€),Санузлов,Мебель,Круглогодичность,Описание,Ссылка
Трехкомнатная квартира в Роял Сан,Солнечный берег,120 000,3,94,4,6,550,17,2,Есть,Да,"Квартира с мебелью и оборудованием, терраса, большой комплекс с бассейнами, СПА, годовая такса 17€/м².",https://bolgarskiydom.com/vtorichnaia_nedvijimosti/kvartiryi_/14734/
Двухкомнатная квартира в Александров Резиденс,Несебр,109 900,2,59,3,5,500,8,2,Есть,Да,"Квартира с мебелью и техникой, 2 санузла, терраса, лифт, видеонаблюдение, 8€ поддержка, море 500м.",https://bolgarskiydom.com/vtorichnaia_nedvijimosti/kvartiryi_/14747/
Квартира-студия в Холидей Форт Клуб,Солнечный берег,52 000,1,34,1,4,900,14.5,1,Есть,Да,"Студия с мебелью и техникой, терраса, шикарная инфраструктура (6 бассейнов, рестораны, спорт, аквапарк), поддержка 14,5€/м².",https://bolgarskiydom.com/vtorichnaia_nedvijimosti/kvartiryi_/14763/
Квартира-студия в Даун Парк Делюкс,Солнечный берег,73 000,1,49,2,6,450,17,1,Есть,Да,"Студия площадью 49м² с мебелью и техникой, терраса, отделена спальная зона, комплекс с бассейном, поддержка 17€.",https://bolgarskiydom.com/vtorichnaia_nedvijimosti/kvartiryi_/14757/
